OBJECTID,CATEGORY,NAME,Google Rating,Max Slope Rating,ADDRESS,CITY,ZIPCODE,PHONE,URL,DATA,POINT_X,POINT_Y,SHAPE,LATITUDE,LONGITUDE
23,GOLF COURSE,Little Bennett Golf Course,4.5,,25900 Prescott Rd,Clarksburg,20871,301-253-1515,https://www.mcggolf.com/,Public,1229257.375,589672.625,"(39.285428387000024, -77.29350105799995)",39.28542049,-77.29349869
24,GOLF COURSE,Hampshire Greens Golf Course,4,,616 Firestone Dr,Silver Spring,20905,301-476-7999,https://www.mcggolf.com/,Public,1311852.125,532025.6874,"(39.12752176400005, -77.00169857799995)",39.12751389,-77.00169631
25,GOLF COURSE,Trotters Glen Golf Course,2,,16501 Batchellors Forest Rd,Olney,20832,301-570-4951,http://www.marylandgolf.com/trottersglen.html,Private,1296412.375,531418.9999,"(39.12584260400007, -77.05612305899996)",39.12583473,-77.05612077
26,GOLF COURSE,Northwest Park Golf Course,4,,15711 Layhill Rd,Wheaton,20855,301-598-6100,https://www.mcggolf.com/,Public,1304224,526841.7501,"(39.11328514200005, -77.02858233399996)",39.11327727,-77.02858006
27,GOLF COURSE,Blue Mash Golf Course,5,,5821 Olney Laytonsville Rd,Olney,20882,301-670-1966,http://www.bluemash.com,Public,1279177.625,554350.4999,"(39.18875842500006, -77.11697841799997)",39.18875054,-77.11697611
28,GOLF COURSE,Four Streams Golf Course,5,,19501 Darnestown Rd,Beallsville,20839,301-349-2900,http://www.marylandgolf.com/golfcourse/Four_Streams_Golf_Club.html,Private,1198805.538,550870.7859,"(39.178579194000065, -77.40048166499997)",39.17857132,-77.40047927
29,GOLF COURSE,Belle Haven Country Club,5,,,,,,,Private,,,,,
30,GOLF COURSE,Burke Lake Golf Center,4,,,,,,,Public,,,,,
31,GOLF COURSE,Chantilly National Golf & Country Club,4.5,,,,,,,Private,,,,,
32,GOLF COURSE,Trump National,4.5,,,,,,,Private,,,,,
33,GOLF COURSE,Fort Belvoir Golf Facility ,4,,,,,,,Public,,,,,
34,GOLF COURSE,Greendale Golf Course,3,,,,,,,Public,,,,,
35,GOLF COURSE,Herndon Centennial Golf Course,3,,,,,,,Public,,,,,
36,GOLF COURSE,Hidden Creek Country Club,4,,,,,,,Private,,,,,
37,GOLF COURSE,International Country Club,5,,,,,,,Private,,,,,
38,GOLF COURSE,Jefferson District Golf Course,4.1,,,,,,,Public,,,,,
39,GOLF COURSE,Laurel Hill Golf Club,4.5,,,,,,,Public,,,,,
40,GOLF COURSE,Mount Vernon Country Club,4.5,,,,,,,Private,,,,,
41,GOLF COURSE,Oak Marr Golf Complex,3,,,,,,,Public,,,,,
42,GOLF COURSE,Penderbrook Golf Club,3.5,,,,,,,Public,,,,,
43,GOLF COURSE,Pinecrest Golf Course,4,,,,,,,Public,,,,,
44,GOLF COURSE,Pleasant Valley Golf Club,4,,,,,,,Public,,,,,
45,GOLF COURSE,Pohick Bay Golf Course,4,,,,,,,Public,,,,,
46,GOLF COURSE,Reston National Golf Course,3.5,,,,,,,Public,,,,,
47,GOLF COURSE,River Bend Golf & Country Club,5,,,,,,,Private,,,,,
48,GOLF COURSE,Springfield Golf & Country Club,5,,,,,,,Private,,,,,
49,GOLF COURSE,Twin Lakes - Lakes Course,4,,,,,,,Public,,,,,
50,GOLF COURSE,Twin Lakes - Oaks Course,4,,,,,,,Public,,,,,
51,GOLF COURSE,Virginia Golf Center & Academy,3,,,,,,,Public,,,,,
52,GOLF COURSE,Westfields Golf Club,4,,,,,,,Public,,,,,
53,GOLF COURSE,Westwood Country Club,5,,,,,,,Private,,,,,
54,GOLF COURSE,East Potomac - Blue,3,,,,,,,,,,,,
55,GOLF COURSE,East Potomac - Red,3,,,,,,,,,,,,
56,GOLF COURSE,East Potomac - White,3,,,,,,,,,,,,
57,GOLF COURSE,Old Hickory,3.5,,,,,,,,,,,,
